16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.21598	0.2161	0.13802	0.21616	0.1331	0.11546	0.05766	0.04	0.03002	0.02498	0.02202	0.02494	0.02206
0.21608	0.21624	0.1382	0.21616	0.13316	0.11536	0.05768	0.04002	0.02998	0.02492	0.022	0.02494	0.02206
0.216	0.2163	0.1383	0.21626	0.133	0.1154	0.05766	0.03996	0.03008	0.02494	0.0221	0.02496	0.0221
0.21598	0.21592	0.13802	0.21626	0.1331	0.11558	0.05774	0.03994	0.0301	0.02498	0.02204	0.0249	0.02204
0.2161	0.21588	0.13802	0.21612	0.13316	0.11534	0.05756	0.03998	0.03	0.0249	0.02204	0.02494	0.02212
0.2162	0.21622	0.13814	0.21608	0.13304	0.11538	0.05776	0.04004	0.03	0.02502	0.02202	0.02494	0.022
0.21618	0.21608	0.13822	0.21634	0.13312	0.1153	0.05768	0.03996	0.03	0.02508	0.02208	0.02496	0.02214
0.21618	0.21612	0.13838	0.21622	0.13314	0.11536	0.05764	0.04	0.02998	0.02496	0.02202	0.02494	0.02202
0.21594	0.21612	0.13802	0.21624	0.1331	0.11546	0.05788	0.03994	0.03012	0.02498	0.02196	0.02492	0.02204
0.2161	0.21622	0.13798	0.216	0.1329	0.11536	0.05764	0.04004	0.03004	0.0249	0.02214	0.02496	0.022
0.21602	0.21596	0.13816	0.2162	0.13298	0.11554	0.05772	0.03996	0.03	0.02498	0.02202	0.02496	0.02204
0.21606	0.21614	0.13824	0.21628	0.13318	0.11524	0.05772	0.04	0.03	0.02496	0.022	0.02502	0.022
0.21626	0.21616	0.13826	0.21606	0.13302	0.1153	0.05762	0.0399	0.02996	0.02496	0.02208	0.025	0.02204
0.21606	0.21616	0.1384	0.21602	0.13314	0.11548	0.05774	0.03994	0.02996	0.02492	0.02206	0.02496	0.022
0.21592	0.21594	0.13832	0.21622	0.1331	0.11552	0.05776	0.03994	0.02996	0.02492	0.02206	0.02498	0.02212
0.21606	0.21616	0.138	0.21624	0.13318	0.1154	0.05772	0.03998	0.02996	0.0249	0.02214	0.02496	0.022
0.21632	0.21632	0.1381	0.21604	0.1332	0.11522	0.0577	0.03992	0.03	0.02492	0.02202	0.02494	0.022
0.21594	0.21606	0.13814	0.21622	0.13298	0.11536	0.05766	0.03994	0.03002	0.02494	0.02204	0.02498	0.02206
0.21614	0.2162	0.1381	0.21618	0.13304	0.11544	0.05768	0.0399	0.03006	0.02492	0.02208	0.02498	0.022
0.21616	0.21606	0.13834	0.21604	0.13298	0.1154	0.0576	0.04006	0.0301	0.02496	0.02202	0.02494	0.02204
